#afm_flds.table_name,field_name,ml_heading,afm_type,allow_null,comments,data_type,decimals,dep_cols,dflt_val,edit_group,edit_mask,enum_list,is_atxt,max_val,min_val,afm_module,num_format,primary_key,ref_table,review_group,afm_size,sl_heading,string_format,is_tc_traceable,field_grouping,attributes,validate_data
#331 records written,,,,,,,,,,,,,,,,,,,,,,,,,,,
resview,ac_id,"Internal
Account","2,070",1,Reservations-v16.3,1,0,,,,,,0,,,20,0,0,,,32,,10,0,,,1
resview,attendees,"Attendees's
Email Addresses","2,070",1,Reservations-v16.3,12,0,,,,,,0,,,20,0,0,,,1000,,40,0,,,1
resview,comments,Comments,"2,070",1,Reservations-v16.3,12,0,,,,,,0,,,20,0,0,,,2000,,40,0,,,1
resview,contact,Contact,"2,070",1,Reservations-v16.3,1,0,,,,,,0,,,20,0,0,,,35,,10,0,,,1
resview,cost_res,"Cost of
Reservation","2,070",0,Reservations-v16.3,2,2,,,,,,0,,,20,1,0,,,10,,25,0,,,1
resview,date_cancelled,"Date
Cancelled","2,070",1,Reservations-v16.3,9,0,,,,,,0,,,20,0,0,,,10,,5,0,,,1
resview,date_created,"Date
Created","2,070",0,Reservations-v16.3,9,0,,,,,,0,,,20,0,0,,,10,,5,0,,,1
resview,date_end,"Date
End","2,070",0,Reservations-v16.3,9,0,,,,,,0,,,20,0,0,,,10,,5,0,,,1
resview,date_last_modified,"Date Last
Modified","2,070",1,Reservations-v16.3,9,0,,,,,,0,,,20,0,0,,,10,,5,0,,,1
resview,date_start,"Date
Start","2,070",0,Reservations-v16.3,9,0,,,,,,0,,,20,0,0,,,10,,5,0,,,1
resview,doc_event,"Event
Document","2,165",1,Reservations-v16.3,1,0,,,,,,0,,,20,0,0,,,64,,5,0,,,1
resview,dp_id,"Dept. for
Chargeback","2,070",1,Reservations-v16.3,1,0,,,,,,0,,,20,0,0,,,16,,10,0,,,1
resview,dv_id,"Division for
Chargeback","2,070",1,Reservations-v16.3,1,0,,,,,,0,,,20,0,0,,,16,,10,0,,,1
resview,email,"Requestor's
Email","2,070",1,Reservations-v16.3,12,0,,,,,,0,,,20,0,0,,,64,,5,0,,,1
resview,phone,"Requestor's
Phone #","2,070",1,Reservations-v16.3,1,0,,,,,,0,,,20,0,0,,,24,,10,0,,,1
resview,recurring_date_modified,"Recurring Date
Individually Modified","2,070",0,Reservations-v16.3,5,0,,0,,,0;No;1;Yes,0,,,20,0,0,,,3,,5,0,,,1
resview,recurring_rule,"Recurring
Rule","2,070",1,Reservations-v16.3,12,0,,,,,,0,,,20,0,0,,,5000,,40,0,,,1
resview,res_conference,"Conference
Reservation Code","2,070",1,v21.3 Reservations,4,0,,,,,,0,,,20,2,0,,,10,,25,0,,,1
resview,res_id,"Reservation
Code","2,070",0,Reservations-v16.3,4,0,,,,,,0,,,20,2,1,,,10,,25,0,,,1
resview,res_parent,"Parent
Reservation Code","2,070",1,Reservations-v16.3,4,0,,,,,,0,,,20,2,0,,,10,,25,0,,,1
resview,res_type,"Reservation
Type","2,070",0,Reservations-v16.3,1,0,,regular,,,regular;Regular;recurring;Recurring,0,,,20,0,0,,,10,,5,0,,,1
resview,reservation_name,"Reservation
Name","2,070",1,Reservations-v16.3,1,0,,,,,,0,,,20,0,0,,,64,,5,0,,,1
resview,status,"Status of
Reservation","2,070",0,Reservations-v16.3,1,0,,,,,Awaiting App.;Awaiting Approval;Rejected;Rejected;Cancelled;Cancelled;Confirmed;Confirmed;Closed;Closed;Room Conflict;Room Conflict,0,,,20,0,0,,,16,,5,0,,,1
resview,time_end,"Time
End","2,070",0,Reservations-v16.3,10,0,,,,,,0,,,20,0,0,,,8,,5,0,,,1
resview,time_start,"Time
Start","2,070",0,Reservations-v16.3,10,0,,,,,,0,,,20,0,0,,,8,,5,0,,,1
resview,user_created_by,"Created
By","2,070",0,Reservations-v16.3,1,0,,,,,,0,,,20,0,0,,,35,,5,0,,,1
resview,user_last_modified_by,"Last
Modified By","2,070",1,Reservations-v16.3,1,0,,,,,,0,,,20,0,0,,,35,,5,0,,,1
resview,user_requested_by,"Requested
By","2,070",0,Reservations-v16.3,1,0,,,,,,0,,,20,0,0,,,35,,5,0,,,1
resview,user_requested_for,"Requested
For","2,070",0,Reservations-v16.3,1,0,,,,,,0,,,20,0,0,,,35,,5,0,,,1
resrmview,attendees_in_room,"# of Attendees
in Room","2,050",0,Reservations-v21.3,5,0,,0,,,,0,,,20,0,0,,,4,,25,0,,,1
resrmview,bl_id,"Building
Code","2,070",0,Reservations-v16.3,1,0,,,,,,0,,,20,0,0,,,8,,10,0,,,1
resrmview,comments,Comments,"2,070",1,Reservations-v16.3,12,0,,,,,,0,,,20,0,0,,,2000,,40,0,,,1
resrmview,config_id,"Configuration
Code","2,070",0,Reservations-v16.3,1,0,,,,,,0,,,20,0,0,,,16,,10,0,,,1
resrmview,cost_rmres,"Cost of Room
Reservation","2,070",0,Reservations-v16.3,2,2,,,,,,0,,,20,1,0,,,10,,25,0,,,1
resrmview,date_cancelled,"Date
Cancelled","2,070",1,Reservations-v16.3,9,0,,,,,,0,,,20,0,0,,,10,,5,0,,,1
resrmview,date_created,"Date
Created","2,070",0,Reservations-v16.3,9,0,,,,,,0,,,20,0,0,,,10,,5,0,,,1
resrmview,date_last_modified,"Date Last
Modified","2,070",1,Reservations-v16.3,9,0,,,,,,0,,,20,0,0,,,10,,5,0,,,1
resrmview,date_rejected,"Date
Rejected","2,070",1,Reservations-v16.3,9,0,,,,,,0,,,20,0,0,,,10,,5,0,,,1
resrmview,date_start,"Date
Start","2,070",0,Reservations-v16.3,9,0,,,,,,0,,,20,0,0,,,10,,5,0,,,1
resrmview,fl_id,"Floor
Code","2,070",0,Reservations-v16.3,1,0,,,,,,0,,,20,0,0,,,4,,10,0,,,1
resrmview,guests_external,"# of External
Guests","2,070",0,Reservations-v16.3,5,0,,0,,,,0,,,20,0,0,,,3,,25,0,,,1
resrmview,guests_internal,"# of Internal
Guests","2,070",0,Reservations-v16.3,5,0,,0,,,,0,,,20,0,0,,,3,,25,0,,,1
resrmview,recurring_order,"Recurring
Order","2,070",0,Reservations-v16.3,5,0,,,,,,0,,,20,0,0,,,3,,25,0,,,1
resrmview,res_id,"Reservation
Code","2,070",0,Reservations-v16.3,4,0,res_id,,,,,0,,,20,2,0,resview,,10,,25,0,,,0
resrmview,rm_arrange_type_id,"Room
Arrangement Type","2,070",0,Reservations-v16.3,1,0,,,,,,0,,,20,0,0,,,16,,10,0,,,1
resrmview,rm_id,"Room
Code","2,070",0,Reservations-v16.3,1,0,,,,,,0,,,20,0,0,,,8,,10,0,,,1
resrmview,rmres_id,"Room Reservation
Code","2,070",0,Reservations-v16.3,4,0,,,,,,0,,,20,2,1,,,10,,25,0,,,1
resrmview,status,"Status of
Room Reservation","2,070",0,Reservations-v16.3,1,0,,,,,Awaiting App.;Awaiting Approval;Rejected;Rejected;Cancelled;Cancelled;Confirmed;Confirmed;Closed;Closed,0,,,20,0,0,,,16,,5,0,,,1
resrmview,time_end,"Time
End","2,070",0,Reservations-v16.3,10,0,,,,,,0,,,20,0,0,,,8,,5,0,,,1
resrmview,time_start,"Time
Start","2,070",0,Reservations-v16.3,10,0,,,,,,0,,,20,0,0,,,8,,5,0,,,1
resrmview,user_last_modified_by,"Last
Modified By","2,070",1,Reservations-v16.3,1,0,,,,,,0,,,20,0,0,,,35,,5,0,,,1
resrmview,verified,Verified?,"2,050",0,v21.2 - Reservations,5,0,,0,,,0;No;1;Yes,0,,,1,0,0,,,1,,25,0,,,1
resrsview,bl_id,"Building
Code","2,070",0,Reservations-v16.3,1,0,,,,,,0,,,20,0,0,,,8,,10,0,,,1
resrsview,comments,Comments,"2,070",1,Reservations-v16.3,12,0,,,,,,0,,,20,0,0,,,2000,,40,0,,,1
resrsview,cost_rsres,"Cost of Resource
Reservation","2,070",0,Reservations-v16.3,2,2,,,,,,0,,,20,1,0,,,10,,25,0,,,1
resrsview,date_cancelled,"Date
Cancelled","2,070",1,Reservations-v16.3,9,0,,,,,,0,,,20,0,0,,,10,,5,0,,,1
resrsview,date_created,"Date
Created","2,070",0,Reservations-v16.3,9,0,,,,,,0,,,20,0,0,,,10,,5,0,,,1
resrsview,date_last_modified,"Date Last
Modified","2,070",1,Reservations-v16.3,9,0,,,,,,0,,,20,0,0,,,10,,5,0,,,1
resrsview,date_rejected,"Date
Rejected","2,070",1,Reservations-v16.3,9,0,,,,,,0,,,20,0,0,,,10,,5,0,,,1
resrsview,date_start,"Date
Start","2,070",0,Reservations-v16.3,9,0,,,,,,0,,,20,0,0,,,10,,5,0,,,1
resrsview,fl_id,"Floor
Code","2,070",0,Reservations-v16.3,1,0,,,,,,0,,,20,0,0,,,4,,10,0,,,1
resrsview,quantity,"Requested
Quantity","2,070",0,Reservations-v16.3,5,0,,,,,,0,,,20,0,0,,,3,,25,0,,,1
resrsview,recurring_order,"Recurring
Order","2,070",0,Reservations-v16.3,5,0,,,,,,0,,,20,0,0,,,3,,25,0,,,1
resrsview,res_id,"Reservation
Code","2,070",0,Reservations-v16.3,4,0,res_id,,,,,0,,,20,2,0,resview,,10,,25,0,,,0
resrsview,resource_id,"Resource
Code","2,070",0,Reservations-v16.3,1,0,,,,,,0,,,20,0,0,,,32,,10,0,,,1
resrsview,rm_id,"Room
Code","2,070",0,Reservations-v16.3,1,0,,,,,,0,,,20,0,0,,,8,,10,0,,,1
resrsview,rsres_id,"Resource Reservation
Code","2,070",0,Reservations-v16.3,4,0,,,,,,0,,,20,2,1,,,10,,25,0,,,1
