#afm_flds.table_name,field_name,ml_heading,afm_type,allow_null,comments,data_type,decimals,dep_cols,dflt_val,edit_group,edit_mask,enum_list,is_atxt,max_val,min_val,afm_module,num_format,primary_key,ref_table,review_group,afm_size,sl_heading,string_format,is_tc_traceable,field_grouping,attributes,validate_data
#196 records written,,,,,,,,,,,,,,,,,,,,,,,,,,,
wohwo,ac_id,"Account
Code","2,070",1,,1,0,,,,,,0,,,4,0,0,,,32,,10,0,,,1
wohwo,bl_id,"Building
Code","2,070",1,,1,0,,,,,,0,,,4,0,0,,,8,,10,0,,,1
wohwo,cost_estimated,"Estimated
Cost","2,070",0,,2,2,,0,,,,0,,,4,1,0,,,10,,25,0,,,1
wohwo,cost_labor,"Cost of
Labor","2,070",0,,2,2,,0,CALCULATED,,,0,,,4,1,0,,,10,,25,0,,,1
wohwo,cost_other,"Other
Costs","2,070",0,,2,2,,0,CALCULATED,,,0,,,4,1,0,,,10,,25,0,,,1
wohwo,cost_parts,"Cost of
Parts","2,070",0,,2,2,,0,CALCULATED,,,0,,,4,1,0,,,10,,25,0,,,1
wohwo,cost_tools,"Cost of
Tools","2,070",0,,2,2,,0,CALCULATED,,,0,,,4,1,0,,,10,,25,0,,,1
wohwo,cost_total,"Total
Cost","2,070",0,,2,2,,0,CALCULATED,,,0,,,4,1,0,,,10,,25,0,,,1
wohwo,date_assigned,"Date to
Perform","2,070",1,,9,0,,,,,,0,,,4,0,0,,,0,,5,0,,,1
wohwo,date_closed,"Date Work
Order Closed","2,070",1,,9,0,,,CALCULATED,,,0,,,4,0,0,,,0,,5,0,,,1
wohwo,date_completed,"Date Work
Order Completed","2,070",1,,9,0,,,,,,0,,,4,0,0,,,0,,5,0,,,1
wohwo,date_created,"Date Work
Order Created","2,070",1,,9,0,,CURRENT,,,,0,,,4,0,0,,,0,,5,0,,,1
wohwo,date_issued,"Date Work
Order Issued","2,070",1,,9,0,,,,,,0,,,4,0,0,,,0,,5,0,,,1
wohwo,description,"Primary Work
Description","2,070",1,,12,0,,,,,,0,,,4,0,0,,,5000,,40,0,,,1
wohwo,dp_id,"Department
Code","2,070",1,,1,0,,,,,,0,,,4,0,0,,,16,,10,0,,,1
wohwo,dv_id,"Division
Code","2,070",1,,1,0,,,,,,0,,,4,0,0,,,16,,10,0,,,1
wohwo,name_authorized,"Work Order
Authorized by","2,070",1,,1,0,,,,,,0,,,4,0,0,,,35,,10,0,,,1
wohwo,name_of_contact,Contact,"2,070",1,,1,0,,,,,,0,,,4,0,0,,,35,,10,0,,,1
