#afm_tbls.table_name,comments,afm_module,title,is_sql_view,title_ch,title_de,title_fr,title_it,title_es,title_jp,title_ko,title_no,title_nl,title_zh,title_01,title_02,title_03
#20 records written,,,,,,,,,,,,,,,,,
resview,SQL view combining reserve and hreserve,20,All Reservations,1,,,,,,,,,,,,,
resrsview,SQL view combining reserve_rs and hreserve_rs,20,All Resource Reservations,1,,,,,,,,,,,,,
resrmview,SQL view combining reserve_rm and hreserve_rm,20,All Room Reservations,1,,,,,,,,,,,,,
rrappdet,Reservations-v16.3,20,Used for Reservation Report:ab-rr-rpt-approve-detail,1,,,,,,,,,,,,,
rrcostdet,Reservations-v16.3,20,Used for Reservation Report:ab-rr-rpt-cost-detail,1,,,,,,,,,,,,,
rrdayresocc,Reservations-v16.3,20,Used for Reservation Report: ab-rr-rpt-day-resource-occupation,1,,,,,,,,,,,,,
rrdayrmocc,Reservations-v16.3,20,Used for Reservation Report: ab-rr-rpt-day-room-occupation.axvw,1,,,,,,,,,,,,,
rrdayrmres,Reservations-v16.3,20,Used for Reservation Report:ab-rr-rpt-day-roomres,1,,,,,,,,,,,,,
rrdayrresplus,Reservations-v16.3,20,Used for Reservation Report: ab-rr-rpt-day-resourceres-plus.axvw,1,,,,,,,,,,,,,
rrdayrmresplus,Reservations-v16.3,20,Used for Reservation Report:ab-rr-rpt-day-roomres-plus,1,,,,,,,,,,,,,
rrmoncostdp,Reservations-v16.3,20,Used for Reservation ab-rr-rpt-month-cost-department,1,,,,,,,,,,,,,
rrmonnumrres,Reservations-v16.3,20,Used for Reservation Report:ab-rr-rpt-month-number-resourceres,1,,,,,,,,,,,,,
rrmonreq,Reservations-v16.3,20,Used for Reservation Report:ab-rr-rpt-month-requestor,1,,,,,,,,,,,,,
rrmonresrej,Reservations-v16.3,20,Used for Reservation Report:ab-rr-rpt-month-resource-reject,1,,,,,,,,,,,,,
rrmonrmcap,Reservations-v16.3,20,Used for Reservation Report:ab-rr-rpt-month-room-capacity,1,,,,,,,,,,,,,
rrmonthresquant,Reservations-v16.3,20,Used for Reservation Report: ab-rr-rpt-month-resource-quantity,1,,,,,,,,,,,,,
rrmonusearr,Reservations-v16.3,20,Used for Reservation Report:ab-rr-rpt-month-use-arrangement,1,,,,,,,,,,,,,
rrressheet,Reservations-v16.3,20,Used for Reservation Report:ab-rr-rpt-ressheet,1,,,,,,,,,,,,,
rrressheetplus,Reservations-v16.3,20,Used for Reservation Report:ab-rr-rpt-ressheet,1,,,,,,,,,,,,,
rrwrrestr,Reservations-v16.3,20,Used for Reservation Report: ab-rr-rpt-wr-reservation-trade.axvw,1,,,,,,,,,,,,,
